parcel_id,land_no,Land,Area,Grade,Frontage,Depth
0010001,1,1,2.00,1.00,,
0010001,2,5,14.50,0.70,,
0010002,1,1,0.25,1.00,,
0010003,1,1,0.83,1.00,,
0010004,1,1,0.30,0.80,,
0010006,1,1,0.20,1.00,,
0010007,1,1,2.00,1.00,,
0010007,2,5,1.00,1.00,,
0010008,1,1,1.20,1.00,,
001000801,1,1,1.70,1.00,,
0010009,1,1,0.20,0.90,,
001001,1,1,2.00,1.00,,
001001,2,5,0.30,1.00,,
0010011,1,5,22.35,0.50,,
001001101,1,1,1.25,1.10,,
0010012,1,1,0.20,0.90,,
0010014,1,1,0.20,1.00,,
0010015,1,1,0.20,0.50,,
0010016,1,1,0.30,0.80,,
0010017,1,1,0.61,0.80,,
001001701,1,1,0.50,0.80,,
0010019,1,1,0.64,0.80,,
001002,1,1,0.43,1.00,,
001002001,1,5,40.60,0.25,,
001002002,1,5,100.00,0.25,,
0010021,1,1,0.25,0.90,,
0010022,1,1,1.33,1.00,,
0010024,1,1,2.00,0.70,,
0010024,2,5,58.00,0.70,,
0010025,1,1,0.25,0.90,,
0010026,1,1,2.00,1.00,,
0010026,2,5,10.78,0.70,,
0010027,1,1,1.75,1.00,,
0010028,1,6,43.00,0.70,,
0010029,1,1,2.00,1.25,,
0010029,2,5,8.10,0.70,,
001003,1,1,2.00,1.00,,
001003,2,5,10.00,0.70,,
0010031,1,1,2.00,1.10,,
0010031,2,5,6.00,0.60,,
001003101,1,1,2.00,1.10,,
001003101,2,5,5.40,0.60,,
0010032,1,1,2.00,1.50,,
0010032,2,5,5.70,0.70,,
0010034,1,1,2.00,1.25,,
0010034,2,5,1.50,0.70,,
0010035,1,1,2.00,1.10,,
0010035,2,5,3.40,0.70,,
0010036,1,1,2.00,1.25,,
0010036,2,5,8.10,0.70,,
001003601,1,1,2.00,1.50,,
001003601,2,5,6.26,0.70,,
0010037,1,1,1.20,1.00,,
0010038,1,1,1.00,1.00,,
0010039,1,1,1.00,1.00,,
0010041,1,1,2.00,1.00,,
0010041,2,5,1.30,1.00,,
0010042,1,1,2.00,1.00,,
0010042,2,5,1.34,1.00,,
0010043,1,1,2.00,1.00,,
0010043,2,5,4.00,1.00,,
001004401,1,1,2.00,1.50,,
001004401,2,5,3.12,1.25,,
001004402,1,1,2.00,1.25,,
001004402,2,5,1.97,1.00,,
001004403,1,1,2.00,1.00,,
001004403,2,5,5.04,1.00,,
0010045,1,1,0.63,1.50,,
0010046,1,1,0.44,1.50,,
0010047,1,1,0.29,1.50,,
001004701,1,5,4.26,0.80,,
0010048,1,1,2.00,1.00,,
0010048,2,5,5.10,1.00,,
001004802,1,1,2.00,1.00,,
001004802,2,5,6.60,1.00,,
0010049,1,1,1.00,1.00,,
001005,1,1,2.00,1.50,,
001005,2,5,8.16,1.25,,
0010051,1,1,2.00,1.25,,
0010051,2,5,10.60,1.25,,
0010052,1,5,6.45,1.00,,
001005201,1,1,2.00,2.00,,
001005201,2,5,18.00,1.25,,
001005202,1,1,2.00,1.50,,
001005202,2,5,8.86,1.00,,
001005203,1,1,2.00,1.25,,
001005203,2,5,8.27,1.00,,
001005204,1,1,2.00,1.50,,
001005204,2,5,13.94,1.00,,
0010075,1,1,2.00,2.00,,
0010075,2,5,79.86,1.00,,
001007501,1,1,2.00,1.50,,
001007501,2,5,38.51,0.80,,
001007502,1,1,2.00,1.00,,
001007502,2,5,52.83,1.00,,
0010076,1,1,1.00,1.75,,
0010078,1,6,56.70,1.00,,
001007801,1,1,2.00,1.50,,
001007801,2,5,6.50,1.00,,
001007802,1,6,4.00,0.80,,
0010079,1,1,2.00,1.25,,
001008,1,1,1.00,1.25,,
0010081,1,1,1.00,1.00,,
0010083,1,1,2.00,1.00,,
0010084,1,1,2.00,1.00,,
001008401,1,1,2.00,1.50,,
001008401,2,5,5.00,1.00,,
001008501,1,1,2.00,1.50,,
001008501,2,5,6.30,1.00,,
0010086,1,1,2.00,1.25,,
0010086,2,5,13.50,0.80,,
0010087,1,1,2.00,1.25,,
0010087,2,5,1.33,1.00,,
0010088,1,1,2.00,1.50,,
0010088,2,5,9.70,1.00,,
0010089,1,1,2.00,1.50,,
0010089,2,5,8.00,1.00,,
0010091,1,1,2.00,1.25,,
0010091,2,5,1.00,1.00,,
0010092,1,1,2.00,2.00,,
0010092,2,5,2.00,0.80,,
0010093,1,1,2.00,2.00,,
0010093,2,5,13.38,1.00,,
0010094,1,1,2.00,1.50,,
0010094,2,5,13.00,0.90,,
0010095,1,1,2.00,1.25,,
0010095,2,5,1.00,1.00,,
0010096,1,6,3.07,0.80,,
0010098,1,1,2.00,1.25,,
0010098,2,5,2.23,0.90,,
001010,1,1,2.00,1.25,,
001010,2,5,4.40,0.90,,
0010101,1,1,1.67,1.25,,
001010101,1,1,2.00,1.25,,
001010101,2,5,3.00,0.80,,
0010104,1,1,2.00,1.00,,
0010104,2,5,0.16,1.00,,
0010105,1,1,2.00,1.00,,
0010105,2,5,0.32,1.00,,
0010106,1,1,1.00,1.10,,
0010107,1,1,0.70,0.80,,
0010108,1,1,2.00,1.00,,
0010108,2,5,1.00,1.00,,
0010109,1,1,2.00,2.00,,
0010109,2,5,1.30,1.00,,
001010902,1,1,2.00,1.50,,
001010902,2,5,3.05,1.00,,
001010903,1,1,2.00,1.50,,
001010903,2,5,0.72,1.00,,
001010910,1,1,2.00,2.50,,
001010910,2,5,4.14,0.90,,
00101092,1,1,2.00,1.50,,
00101092,2,5,1.00,1.00,,
00101093,1,1,2.00,2.00,,
00101093,2,5,1.50,1.00,,
001011,1,1,2.00,1.50,,
001011,2,5,4.20,1.00,,
0010111,1,1,2.00,1.25,,
0010111,2,5,3.30,1.00,,
0010112,1,1,2.00,2.00,,
0010113,1,6,7.17,0.80,,
0010114,1,1,1.00,3.00,,
0010115,1,1,2.00,1.50,,
0010115,2,5,4.50,0.90,,
0010116,1,1,2.00,2.00,,
0010116,2,5,6.90,0.80,,
00101171,1,1,2.00,2.00,,
00101171,2,5,7.20,0.80,,
00101172,1,1,2.00,3.00,,
00101172,2,5,8.00,0.80,,
00101173,1,1,2.00,2.00,,
00101173,2,5,8.10,0.90,,
00101174,1,1,2.00,3.00,,
00101174,2,5,32.00,0.90,,
001011741,1,1,2.00,4.00,,
001011741,2,5,20.80,0.80,,
00101175,1,5,64.00,0.80,,
0010118,1,1,2.00,2.00,,
0010118,2,5,8.50,0.80,,
0010119,1,1,2.00,1.50,,
0010119,2,5,2.30,1.00,,
001011902,1,1,2.00,2.00,,
001011902,2,5,2.30,0.80,,
001011903,1,1,2.00,2.00,,
001011903,2,5,1.60,0.80,,
001012,1,1,2.00,3.00,,
001012,2,5,26.50,0.80,,
0010123,1,1,2.00,1.75,,
0010123,2,5,10.50,0.80,,
0010125,1,1,2.00,2.00,,
0010125,2,5,0.70,1.00,,
0010126,1,1,2.00,3.00,,
0010126,2,5,25.60,1.00,,
0010128,1,1,2.00,2.00,,
0010128,2,5,26.05,0.80,,
0010129,1,1,2.00,1.25,,
0010129,2,5,24.20,0.80,,
001012901,1,1,2.00,2.00,,
001012901,2,5,8.10,0.80,,
0010132,1,1,2.00,2.00,,
0010132,2,5,20.50,0.80,,
0010133,1,6,43.20,0.80,,
0010134,1,1,2.00,2.00,,
0010134,2,5,15.00,0.80,,
0010135,1,1,2.00,2.00,,
0010135,2,5,4.00,0.80,,
0010136,1,1,2.00,2.00,,
0010136,2,5,14.00,0.80,,
0010137,1,1,1.10,2.00,,
0010138,1,6,57.00,1.25,,
0010139,1,1,2.00,0.80,,
0010139,2,6,378.00,0.80,,
001014,1,6,52.00,0.80,,
0010142,1,5,0.90,0.50,,
002000,1,5,1.00,0.20,,
0020001,1,1,1.50,1.00,,
0020002,1,1,2.00,1.00,,
0020002,2,5,2.00,1.00,,
0020003,1,1,2.00,1.25,,
0020003,2,5,8.20,0.60,,
0020004,1,6,36.78,1.00,,
002000401,1,1,2.00,1.50,,
002000401,2,5,4.08,1.00,,
002000402,1,1,2.00,1.50,,
002000402,2,5,4.08,1.00,,
0020006,1,6,22.60,1.00,,
0020007,1,1,2.00,2.00,,
0020007,2,5,30.20,1.50,,
0020011,1,1,2.00,1.00,,
0020011,2,5,8.50,0.80,,
0020012,1,1,2.00,1.50,,
0020012,2,5,3.92,1.00,,
0020013,1,1,2.00,1.25,,
0020013,2,5,5.90,1.00,,
0020014,1,1,2.00,1.50,,
0020014,2,5,3.90,1.20,,
0020016,1,1,2.00,3.00,,
0020016,2,7,2.00,2.00,,
0020016,3,5,60.20,1.00,,
0020017,1,1,2.00,2.00,,
0020017,2,5,8.10,1.00,,
0020018,1,1,2.00,1.50,,
0020018,2,5,192.70,1.50,,
002002,1,1,2.00,1.00,,
002002,2,5,3.40,0.80,,
0020021,1,1,2.00,1.50,,
0020021,2,5,0.42,1.00,,
002002101,1,6,50.00,0.80,,
002002102,1,1,2.00,2.00,,
002002102,2,5,2.88,1.00,,
0020022,1,1,2.00,1.25,,
0020022,2,5,8.00,0.80,,
0020024,1,1,2.00,1.25,,
0020024,2,5,17.40,0.80,,
0020025,1,1,2.00,1.25,,
0020025,2,5,11.20,0.80,,
0020026,1,1,2.00,0.80,,
0020026,2,5,0.40,1.00,,
0020027,1,1,1.25,1.00,,
0020028,1,1,2.00,1.00,,
0020028,2,5,1.00,1.00,,
0020029,1,1,1.25,1.00,,
002003,1,6,2.30,0.80,,
0020031,1,1,2.00,1.25,,
0020031,2,5,39.50,1.00,,
0020032,1,1,1.10,1.25,,
0020034,1,1,2.00,1.00,,
0020035,1,1,1.00,1.00,,
0020036,1,6,20.00,1.00,,
0020036,2,5,155.00,1.00,,
002003601,1,1,2.00,2.00,,
002003601,2,5,9.00,1.00,,
0020037,1,1,2.00,2.00,,
0020037,2,5,9.51,1.00,,
002003701,1,1,2.00,1.50,,
002003701,2,5,1.01,1.00,,
002003702,1,1,2.00,1.25,,
002003702,2,5,2.43,1.00,,
0020039,1,6,43.00,1.75,,
0020039,2,5,0.70,,,
002003901,1,1,1.60,1.25,,
002004,1,6,23.00,0.80,,
0020041,1,1,2.00,1.25,,
0020041,2,5,21.00,0.70,,
0020042,1,1,2.00,1.00,,
0020042,2,5,5.00,0.70,,
0020043,1,1,2.00,2.00,,
0020043,2,5,6.50,1.00,,
0020044,1,5,0.75,1.50,,
0020044,2,5,1.00,,,
0030001,1,1,2.00,1.00,,
0030002,1,1,1.20,1.00,,
0030003,1,5,0.25,1.00,,
0030004,1,1,1.00,0.90,,
0030005,1,1,1.00,1.00,,
0030006,1,1,1.00,1.00,,
0030007,1,1,1.50,1.00,,
0030008,1,1,2.00,1.25,,
0030008,2,5,207.00,0.70,,
0030009,1,1,2.00,1.00,,
0030009,2,5,1.80,0.80,,
003001,1,1,2.00,1.00,,
003001,2,5,0.10,1.00,,
0030011,1,1,2.00,1.00,,
0030011,2,5,5.19,0.80,,
0030012,1,1,2.00,0.90,,
0030012,2,5,7.70,0.80,,
003001201,1,1,1.40,1.00,,
0030013,1,1,2.00,1.00,,
0030013,2,5,2.00,0.80,,
0030014,1,1,2.00,1.25,,
0030014,2,5,2.00,1.00,,
0030015,1,1,2.00,1.25,,
0030015,2,5,3.20,0.70,,
003001501,1,1,2.00,1.00,,
003001501,2,5,9.00,0.80,,
003001502,1,6,4.90,0.80,,
0030016,1,1,2.00,1.00,,
0030016,2,5,15.30,0.80,,
003001601,1,1,2.00,0.90,,
003001601,2,5,30.10,0.80,,
0030017,1,1,2.00,1.00,,
0030017,2,5,22.10,0.80,,
003001702,1,5,55.30,0.50,,
0030019,1,1,2.00,1.00,,
0030019,2,5,5.00,1.00,,
003002,1,1,1.20,1.00,,
0030021,1,6,59.80,0.80,,
0030022,1,6,5.60,0.80,,
0030024,1,1,2.00,1.00,,
0030024,2,5,3.50,0.80,,
0030025,1,1,2.00,1.25,,
0030025,2,5,3.00,1.00,,
003002501,1,1,2.00,1.50,,
003002501,2,5,9.40,1.00,,
003002502,1,1,2.00,1.50,,
003002502,2,5,8.10,0.80,,
003002503,1,1,2.00,1.50,,
003002503,2,5,8.20,1.00,,
003002505,1,1,2.00,1.25,,
003002505,2,5,4.80,0.80,,
0030026,1,1,2.00,1.00,,
0030026,2,5,26.30,0.80,,
0030029,1,1,2.00,1.25,,
0030029,2,5,7.80,0.80,,
003003,1,1,1.00,1.00,,
0030031,1,1,2.00,1.25,,
0030031,2,5,2.60,1.00,,
0030032,1,1,1.00,1.25,,
0030033,1,1,2.00,1.25,,
0030033,2,5,1.00,1.00,,
0030034,1,1,2.00,2.00,,
0030034,2,5,20.30,1.00,,
0030035,1,1,1.30,1.00,,
0030036,1,1,1.30,1.00,,
0030037,1,1,2.00,2.00,,
0030037,2,5,92.00,0.80,,
003003701,1,6,54.00,0.80,,
0030038,1,1,2.00,1.25,,
0030038,2,5,2.80,1.00,,
003003801,1,1,2.00,1.50,,
003003801,2,5,5.30,1.00,,
0030039,1,1,2.00,1.00,,
0030041,1,1,0.50,1.00,,
0030042,1,1,2.00,1.25,,
0030042,2,5,44.74,0.80,,
0030046,1,1,2.00,1.00,,
0030046,2,5,1.00,1.00,,
0030047,1,1,1.30,1.00,,
003004701,1,1,2.00,1.50,,
003004701,2,5,0.74,1.00,,
0030049,1,5,0.30,1.00,,
0030051,1,1,1.00,1.00,,
0030052,1,1,2.00,1.25,,
0030052,2,5,6.35,1.00,,
003005201,1,1,2.00,1.25,,
003005201,2,5,3.75,1.00,,
003005202,1,1,2.00,1.25,,
003005202,2,5,2.70,0.80,,
003005203,1,1,2.00,1.25,,
003005203,2,5,48.00,0.80,,
003005204,1,1,2.00,1.00,,
003005204,2,5,10.50,0.80,,
003005205,1,1,2.00,1.50,,
003005205,2,5,13.00,0.40,,
003005206,1,1,2.00,1.25,,
003005206,2,5,20.50,0.40,,
003005210,1,1,2.00,1.25,,
003005210,2,5,9.95,1.00,,
003005211,1,1,2.00,1.25,,
003005211,2,5,42.25,0.60,,
003005230,1,1,2.00,1.10,,
003005230,2,5,2.87,1.00,,
003005240,1,1,2.00,1.10,,
003005240,2,5,3.38,1.00,,
003005250,1,1,2.00,1.00,,
003005250,2,5,1.73,1.00,,
0030053,1,1,0.50,1.00,,
0030054,1,1,1.80,0.25,,
0030055,1,1,2.00,1.00,,
0030055,2,5,24.50,0.70,,
0030056,1,1,2.00,1.50,,
0030056,2,5,17.00,0.80,,
0030057,1,1,2.00,1.25,,
0030057,2,5,98.00,1.00,,
0030058,1,1,2.00,1.00,,
0030058,2,5,69.00,0.80,,
0030059,1,1,2.00,0.80,,
0030059,2,5,0.30,0.80,,
003006,1,1,0.30,0.60,,
0030061,1,1,2.00,1.00,,
0030061,2,5,13.00,0.80,,
0030062,1,1,2.00,1.00,,
0030062,2,5,1.36,1.00,,
003006201,1,1,2.00,1.00,,
003006201,2,5,0.47,1.00,,
003006202,1,6,72.51,0.50,,
003006203,1,6,95.50,0.50,,
0030063,1,1,2.00,1.00,,
0030063,2,5,9.34,0.80,,
0030064,1,5,532.00,1.00,,
0030065,1,1,1.00,1.00,,
0030066,1,5,58.70,0.70,,
003006601,1,5,0.58,1.00,,
0030067,1,6,29.81,0.60,,
0030068,1,6,3.20,0.50,,
0040001,1,1,0.30,1.00,,
0040002,1,1,0.50,1.00,,
004000201,1,5,0.60,1.00,,
0040003,1,1,0.60,1.10,,
0040004,1,1,0.33,1.10,,
0040005,1,1,0.50,1.10,,
0040006,1,1,0.40,1.10,,
0040007,1,1,0.33,1.10,,
0040008,1,1,0.80,1.25,,
0040009,1,1,1.00,1.10,,
004001,1,1,1.00,1.25,,
0040011,1,1,2.00,1.50,,
0040011,2,5,0.31,1.00,,
0040012,1,1,1.00,1.00,,
0040013,1,1,1.12,1.00,,
0040014,1,1,1.00,1.00,,
004001501,1,1,0.70,1.50,,
0040016,1,5,0.10,0.60,,
0040022,1,1,0.75,1.00,,
0040023,1,1,0.18,1.00,,
0040023,2,7,0.26,1.00,,
0040023,3,5,0.39,0.50,,
004002304,1,5,0.63,1.00,,
0040024,1,1,0.41,1.00,,
0040025,1,1,0.47,1.00,,
0040026,1,1,1.00,1.00,,
0040029,1,1,1.80,1.00,,
0040031,1,1,0.50,1.00,,
0040034,1,1,0.50,1.00,,
0040035,1,1,0.65,1.10,,
004003600,1,5,0.30,0.60,,
0040037,1,1,0.30,1.00,,
0040038,1,1,0.20,1.00,,
0040039,1,1,0.40,1.00,,
0040041,1,1,2.00,1.00,,
00400411,1,5,0.10,0.10,,
0040042,1,1,0.20,1.00,,
0040043,1,1,0.25,1.10,,
0040044,1,1,0.65,1.00,,
0040047,1,1,2.00,1.10,,
0040047,2,5,1.90,1.00,,
0040048,1,1,1.00,1.00,,
0040049,1,1,1.10,1.00,,
004005,1,1,2.00,1.00,,
004005,2,5,11.40,0.60,,
0040051,1,1,1.10,1.00,,
004005101,1,1,2.00,1.00,,
004005101,2,5,0.30,1.00,,
0040052,1,1,0.25,1.00,,
0040053,1,1,2.00,1.00,,
0040053,2,5,32.00,0.80,,
0040054,1,1,0.20,1.00,,
0040055,1,1,1.40,1.00,,
0040056,1,1,0.40,1.00,,
0050001,1,1,0.29,1.50,,
0050003,1,1,2.00,1.00,,
0050003,2,5,1.00,1.00,,
0050004,1,1,2.00,1.25,,
0050004,2,5,0.73,1.00,,
0050008,1,1,1.10,1.00,,
005000801,1,1,1.06,1.00,,
005000802,1,1,2.00,1.00,,
005000802,2,5,0.30,1.00,,
005000803,1,1,1.05,1.00,,
0050009,1,1,1.20,1.00,,
005001001,1,1,1.37,1.00,,
005001002,1,1,1.25,1.00,,
005001003,1,1,1.53,1.00,,
0050012,1,1,2.00,1.00,,
0050013,1,1,2.00,1.00,,
0050013,2,5,0.20,1.00,,
00500131,1,1,2.00,1.00,,
0050014,1,1,2.00,0.80,,
0050014,2,5,75.74,0.80,,
005001401,1,1,2.00,1.50,,
005001401,2,5,1.01,0.90,,
005001402,1,1,2.00,1.00,,
005001402,2,5,0.20,1.00,,
005001403,1,1,2.00,1.25,,
005001403,2,5,7.40,0.80,,
005001404,1,6,13.90,0.80,,
005001410,1,1,2.00,1.25,,
005001410,2,5,11.25,0.80,,
005001411,1,6,68.70,0.80,,
005001420,1,1,2.00,1.00,,
005001420,2,5,27.75,0.90,,
0050015,1,1,0.75,0.90,,
0050016,1,1,0.70,1.00,,
0050017,1,1,0.33,1.00,,
0050018,1,1,1.12,1.00,,
005001801,1,1,1.30,1.00,,
0050019,1,1,0.33,1.00,,
005002,1,1,0.20,1.00,,
0050021,1,1,0.30,1.00,,
0050022,1,1,0.20,1.00,,
0050023,1,1,0.20,1.00,,
0050024,1,1,0.20,1.00,,
0050025,1,1,1.25,1.00,,
0050026,1,1,1.00,1.00,,
0050027,1,1,0.24,1.00,,
0050028,1,1,0.50,1.00,,
0050029,1,1,1.10,1.00,,
005003,1,1,1.05,1.00,,
0050031,1,1,1.00,1.00,,
0050032,1,1,0.38,1.00,,
0050033,1,1,1.00,1.10,,
0050034,1,1,1.25,1.00,,
0050036,1,1,2.00,1.25,,
0050036,2,5,5.63,0.80,,
0050038,1,1,1.02,1.00,,
0050039,1,1,1.00,1.00,,
005004,1,1,2.00,0.80,,
005004,2,5,1.80,0.80,,
005004101,1,1,1.16,0.80,,
005004102,1,1,1.47,0.80,,
0050042,1,1,1.00,1.00,,
0050043,1,1,1.00,1.00,,
0050045,1,1,2.00,1.25,,
0050045,2,5,8.08,1.00,,
005004501,1,1,2.00,1.50,,
005004501,2,5,1.14,0.90,,
005004502,1,1,2.00,1.25,,
005004502,2,5,1.03,0.90,,
005004503,1,1,2.00,1.00,,
005004503,2,5,1.25,0.90,,
0050046,1,1,2.00,1.50,,
0050046,2,5,8.30,0.80,,
0050049,1,1,1.20,0.90,,
005004901,1,1,2.00,1.00,,
005004901,2,5,10.10,0.50,,
005005,1,1,0.50,1.00,,
0050051,1,1,0.50,0.80,,
0050052,1,1,0.40,1.00,,
0050054,1,1,2.00,1.00,,
0050054,2,5,1.00,1.00,,
0050057,1,1,2.00,2.00,,
0050057,2,5,227.20,1.00,,
0050062,1,1,1.50,1.50,,
0050065,1,1,0.71,0.80,,
0050067,1,1,0.92,0.80,,
005007,1,1,2.00,1.50,,
005007,2,5,27.60,0.80,,
